Time,Temperature
713,-3.872505
714,-4.403694
715,-3.77754
716,-3.3794842
717,-3.2395594
718,-3.10363
719,-2.7499855
720,-2.2842934
721,-1.9522706
722,-1.435343
723,-1.0234035
724,-1.5232631
725,-1.778167
726,-2.0872326
727,-2.731097
728,-3.143234
729,-2.4174647
730,-2.8325312
731,-2.541875
732,-2.4092653
733,-2.2967005
734,-2.1689956
735,-2.359525
736,-2.5756915
737,-2.5443554
738,-3.1770976
739,-3.475575
740,-3.4948113
741,-3.1101754
742,-3.756509
743,-3.4331682
744,-3.0000129
745,-3.1156635
746,-3.8518887
747,-3.177664
748,-2.1248589
749,-2.076391
750,-1.918095
751,-2.9678304
752,-2.9760234
753,-2.6056314
754,-2.8000188
755,-2.6297674
756,-2.6872635
757,-2.380715
758,-2.6884046
759,-2.8799105
760,-3.5318475
761,-3.2494698
762,-2.865239
763,-1.9466606
764,-2.7626822
765,-2.6773977
766,-1.4852229
767,-2.3899546
768,-2.1014407
769,-2.3768318
770,-2.3807068
771,-2.017729
772,-2.7792323
773,-2.9620285
774,-2.987576
775,-3.1320763
776,-2.8454216
777,-2.7255619
778,-3.5425625
779,-3.4571583
780,-2.0193381
781,-1.7671883
782,-1.7333758
783,-1.7112585
784,-2.0684044
785,-2.0909445
786,-2.363546
787,-2.0529578
788,-3.0839176
789,-2.50127
790,-2.6493556
791,-2.6608775
792,-2.8885295
793,-2.580141
794,-2.4700794
795,-2.57221
796,-1.5732543
797,-1.8465579
798,-1.0984558
799,0.10060716
800,-0.2424081
801,-0.6480581
802,-1.0365925
803,-1.261638
804,-0.581437
805,-0.39243683
806,0.08166454
807,0.314126
808,-0.17653903
809,-0.48898497
810,-0.5358485
811,-0.378825
812,0.086349756
813,0.79518825
814,1.0309986
815,1.7928287
816,1.1504903
817,0.5252708
818,0.18269293
819,0.4577975
820,0.49485967
821,0.36199823
822,1.1494348
823,0.58820415
824,1.1265235
825,0.88967377
826,0.8284286
827,0.84870595
828,1.1517298
829,0.86422706
830,0.83684844
831,-0.051380873
832,0.63018715
833,0.7059447
834,0.94940674
835,1.4411564
836,1.7215142
837,1.5112878
838,1.0086265
839,1.9613514
840,1.9194394
841,2.4240794
842,2.0454788
843,0.99853617
844,1.7402648
845,0.6782659
846,0.9681831
847,-0.3871367
848,0.3357526
849,0.32015404
850,0.115707025
851,0.5682141
852,0.07981337
853,-0.039370053
854,0.048624292
855,-0.5442651
856,-0.58669513
857,-0.5265555
858,-0.20540245
859,-0.29416502
860,-0.9111616
861,-1.3946867
862,-1.4048592
863,-1.9874163
864,-2.2683213
865,-2.2410944
866,-1.672012
867,-1.777674
868,-1.4293488
869,-1.1958706
870,-0.8839444
871,0.6710307
872,0.6248354
873,0.8810393
874,1.5412422
875,1.820359
876,2.660871
877,3.3499002
878,2.1949377
879,1.0594246
880,1.5338198
881,0.3282785
882,0.024788253
883,-0.042312235
884,0.0827152
885,0.5733867
886,-0.20741017
887,-0.6238589
888,0.086679
889,0.46949363
890,0.2503357
891,0.15055326
892,-0.56080294
893,-1.0133245
894,-1.4737236
895,-1.4915833
896,-1.2105299
897,-2.2481933
898,-2.0402238
899,-2.3938265
900,-2.0738218
901,-1.6963145
902,-1.2351842
903,-0.81938094
904,0.54718304
905,0.30105487
906,0.087619916
907,0.45428884
908,0.67592895
909,0.7012353
910,0.1333117
911,0.59500843
912,0.0043656635
913,0.47085416
914,0.2830935
915,0.8030997
916,0.19249268
917,-0.47696123
918,0.56852233
919,0.2397193
920,0.9985152
921,1.0551364
922,0.38309383
923,1.2929432
924,1.0165572
925,0.22244386
926,0.31623703
927,-0.36695942
928,-0.17951027
929,0.025777588
930,-0.014184775
931,-0.25275335
932,-0.9066829
933,-1.1175373
934,-0.42208946
935,-0.115871646
936,-0.8952999
937,-0.5083166
938,0.34345424
939,0.5689613
940,0.35935622
941,-0.6039415
942,-0.61386395
943,-0.47668043
944,-0.5463164
945,-0.59065247
946,-0.28250927
947,-0.33638364
948,-0.20075597
949,-0.18995397
950,0.020246672
951,-0.28110838
952,0.12235317
953,1.117053
954,0.9111406
955,0.32938728
956,0.40108424
957,0.15025629
958,0.111836836
959,0.38394114
960,0.56242657
961,0.74531317
962,0.38585687
963,0.67889535
964,0.90601313
965,2.183182
966,2.1161976
967,2.1308827
968,1.6349483
969,0.7604227
970,0.47411105
971,-0.79966044
972,-0.69134355
973,0.715299
974,0.83623034
975,0.5181179
976,0.1578159
977,0.38206413
978,0.60883653
979,1.3924949
980,0.7385686
981,1.0981863
982,1.0831623
983,2.1460521
984,1.2080638
985,0.77808386
986,0.8236869
987,0.7539025
988,0.23033758
989,0.9411563
990,0.69265246
991,2.1485746
992,1.8791865
993,1.896341
994,1.2594253
995,1.1807966
996,1.9200591
997,1.7275826
998,1.387282
999,2.2828677
1000,2.5487711
1001,0.7826739
1002,1.226356
1003,2.108943
1004,1.7187206
1005,1.9937477
1006,1.5755397
1007,1.7426631
1008,1.3959972
1009,0.6090883
1010,0.45104808
1011,0.29664078
1012,-0.10323785
1013,-0.5321542
1014,-0.99431896
1015,-1.4015023
1016,-1.9308733
1017,-1.912719
1018,-1.6270045
1019,-1.5319767
1020,-1.5004423
1021,-1.897064
